Name,Personal Traits,image
A. K. Hangal,"Avtar Kishan Hangal (1 February 1914 – 26 August 2012),[2] popularly known as A. K. Hangal, was an Indian freedom fighter[3] from 1929–1947 and also stage actor from 1936–1965 and later became a character actor in Hindi language films from 1966 to 2005.[4][5] His most notable roles are as Ram Shastri in Aaina (1977), as the Inder Sen in Shaukeen, as Bipinlal Pandey in Namak Haraam, as Imaam Saa'b in Sholay, as Anokhelal in Manzil and the antagonist in Prem Bandhan and the 16 films he did with Rajesh Khanna.[6] He has acted in around 225 Hindi films in a career spanning from 1966 to 2005.[7]Born into a Kashmiri Pandit family, he spent his childhood and youth in Peshawar, where he had performed in theatre for some major roles. His family home was inside Reti Gate as mentioned in his memoirs. His father's name was Pandit Hari Kishan Hangal. His mother's name was Ragia Hundoo. He had two sisters. Bishan and Kishan. He was married to Manorma Dar from Agra.[8] However, his primary occupation for the early part of his life was that of a tailor.[9] He was an active participant in the Indian freedom struggle from 1929–1947. He joined Shree Sangeet Priya Mandal, a theatre group in Peshawar in 1936 and continued to act in many plays in undivided India till 1946.[10] Following his father's retirement, the family moved from Peshawar to Karachi. He moved to Bombay after the Partition of India in 1949 after 3 years in prison in Pakistan. He was involved with the theatre group IPTA along with Balraj Sahni and Kaifi Azmi, both of whom had Marxist leanings. He was jailed because he was a communist[5] in Karachi for two years from 1947–1949 and after his release came to India and settled in Mumbai.[11] He later acted in many plays in theatres in India from 1949–1965.[citation needed]",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/A_K_Hangal_at_14th_Hira_Manik_Awards.jpg/220px-A_K_Hangal_at_14th_Hira_Manik_Awards.jpg
Aadhi,"Aadhi is a 2018 Indian Malayalam-language action thriller film written and directed by Jeethu Joseph. The film stars Pranav Mohanlal in the title role (in his debut adult role) and features Aditi Ravi, Anusree, Jagapati Babu, Siddique, Lena, Sharaf U Dheen, Siju Wilson, Meghanathan, Sijoy Varghese, Tony Luke, and Krishna Shankar in supporting roles. It was produced by Antony Perumbavoor through Aashirvad Cinemas. The original soundtrack for the film was composed by Anil Johnson. Aadhi also mark Pranav's debut as a singer-songwriter with the song ""Gypsy Women"" he wrote, sung, and performed.The principal photography took place between August and November 2017 in Kochi, Bangalore, and Hyderabad. Aadhi was released in India on 26 January 2018 and met with positive critical response. The film was a major commercial success, becoming one of the highest-grossing Malayalam films of the year and ran over 100 days in theatres.Aadhi aspires to become a music director in cinema who is doing local singing gigs. His other passion is parkour which he practices regularly. He receives some support from his father, Mohan Varma, a successful businessman, he is not so optimistic about Aadhi's musical career and wants him to earn a livelihood from business. His mother, Rosy, however, supports his wishes except the parkour. Aadhi is trying hard to get a breakthrough. Mohan sends Aadhi to take his friend Roy's car to Bangalore to receive Roy after his foreign trip and has a week's commute.",https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Aadhi_film_poster.jpg/220px-Aadhi_film_poster.jpg
Aamir Khan,"Mohammed Aamir Hussain Khan (pronounced [ˈaːmɪr ˈxaːn]; born 14 March 1965) is an Indian actor, director, filmmaker and television talk-show host. Through his career spanning over thirty years in Hindi films, Khan has established himself as one of the most popular and influential actors of Indian cinema.[2][3] He has a large global following, especially in India and China, and has been described by Newsweek as ""the biggest movie star""[4][5] in the world.[6][7][8] Khan is the recipient of numerous awards, including nine Filmfare Awards, four National Film Awards, and an AACTA Award, as well as an Academy Award nomination. He was honoured by the Government of India with the Padma Shri in 2003 and the Padma Bhushan in 2010,[9] and received an honorary title from the Government of China in 2017.[10] For years, he has been regularly listed one amongthe 500 Most Influential Muslims of the world.[11][12]Khan first appeared on screen as a child actor in his uncle Nasir Hussain's film Yaadon Ki Baaraat (1973). As an adult, his first feature film role was in the experimental film Holi (1984), and he began a full-time acting career with a leading role in the tragic romance Qayamat Se Qayamat Tak (1988). His performance in the film and in the thriller Raakh (1989) earned him a National Film Award in the Special Mention category. He established himself as a leading actor of Hindi cinema in the 1990s by appearing in a number of commercially successful films, including the romantic dramas Dil (1990) and Raja Hindustani (1996), for which he won his first Filmfare Award for Best Actor, and the thriller Sarfarosh (1999).[13][14] He also played against type in the acclaimed Canadian-Indian co-production 1947: Earth (1998).[15]",https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Aamir_Khan_From_The_NDTV_Greenathon_at_Yash_Raj_Studios_%2811%29.jpg/220px-Aamir_Khan_From_The_NDTV_Greenathon_at_Yash_Raj_Studios_%2811%29.jpg
Aashish Chaudhary,"Ashish Chaudhary (born 21 July 1978) is a  Bollywood actor. Then he hosted a program for Disney. He has acted in many music videos as well as advertisements. Afterwards he shifted to television shows and acted in  Hum Pardesi Ho Gaye, Kya Yehi Pyaar Hai. In 2003, he acted in a movie called Qayamat along with Ajay Devgan and Neha Dhupia. Ashish is better known for his role as Boman in Dhamaal. In 2013, he returned to television and acted in a series named Ek Mutthi Aasmaan.He is married to Samita Bangargi and together they have three children - a son and twin daughters. He regularly interacts with his fans via Twitter and has named them ""Twamily"".[2] He is the winner of Khatron Ke Khiladi : Darr Ka Blockbuster Returns. Chowdhry was a contestant in the celebrity dance show Jhalak Dikhhla Jaa (Season 8) but was eliminated in the sixth week. He is currently playing the role of Mrityunjay Roy in Beyhadh 2.[3]",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ashish_choudhry.jpg/220px-Ashish_choudhry.jpg
Abhay Deol,"Abhay Deol (also known as Abhay Singh Deol, born 15 March 1976)[1] is an Indian actor and producer, who works predominantly in Hindi language films. Born in the influential Deol family of the Hindi cinema, he began acting at a young age in theater productions at his school. Deol made his on-screen debut in 2005 with Imtiaz Ali's romantic comedy Socha Na Tha.After the modest success of his debut, Deol was praised for his performances in films such as Manorama Six Feet Under (2007), which won him the Best Actor Award at the Indo-American Arts Council Film Festival, and the commercially successful Oye Lucky! Lucky Oye! (2008). His breakthrough role came in 2009 with the starring role as Dev in Anurag Kashyap's Dev.D, a modern-day adaptation of the Bengali classic novel Devdas. Following the success of the film, Deol gained wider recognition.Deol mainly appeared in independent films early in his career, but that changed in 2011 when he starred in Zoya Akhtar's Zindagi Na Milegi Dobara, a road film that went to become one of the highest-grossing films in Bollywood. His performance was well-received and earned him his first nomination for Filmfare Award for Best Supporting Actor. Deol has since appeared in commercially successful films including the drama film Raanjhanaa (2013), and the romantic comedy Happy Bhag Jayegi (2016), while simultaneously working in independent films including the drama Road, Movie (2010) and the war film Chakravyuh (2012).",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Abhay_Deol_at_Ficci_Frames.jpg/220px-Abhay_Deol_at_Ficci_Frames.jpg
Abhijeeth,"Abhijith (Kannada: ಅಭಿಜಿತ್) (born 30 July 1963) is an Indian actor, singer, producer and director working in Kannada films. Starting his career as an actor in the late 1980s, he went on to act in many films through the 1990s and 2000s. He mainly played lead roles and villains in the 1990s and some supporting roles as well.Abhijith started his career in the late 1980s playing small roles in feature films. It was the 1990 release, College Hero,  that made him a successful villain of the Kannada film industry. He played villains even after being a successful hero in films such as Muddina Maava, One Man Army, and  Vairi.Abhijith's first directorial venture, Jodi No. 1, was a suspense and action movie, and the second one was Vishnu which had led to controversy with the title.Abhijith is the host of the popular show Aksharamale, which aired on Udaya TV. Aksharamaale (Kannada: ಅಕ್ಷರಮಾಲೆ) is a Kannada-language, singing talent show running for more than 15 years on Udaya TV. Abhijith has been the host of the show since 1997 with co-host and singer Sangeetha Ravishankar and Anuradha Bhat.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Abhijith_Actor.jpg/250px-Abhijith_Actor.jpg
Abhishek Bachchan,"Abhishek Bachchan (born 5 February 1976) is an Indian film actor and film producer known for his work in Bollywood. Part of the Bachchan family, he is the son of actors Amitabh Bachchan and Jaya Bachchan.Bachchan made his acting debut in 2000 with J. P. Dutta's war film Refugee, and followed it by starring in over a dozen films which were both critical and commercial failures. His first commercial successes came with the 2004 action films Dhoom and Run, which changed his career prospects. Bachchan went on to earn critical appreciation for his performances in the dramas Yuva (2004), Sarkar (2005), and Kabhi Alvida Naa Kehna (2006), which won him three consecutive Filmfare Award for Best Supporting Actor. In 2007, he portrayed a character loosely based on Dhirubhai Ambani in Mani Ratnam's drama film Guru, which earned him a nomination for the Filmfare Award for Best Actor.Bachchan has also played leading and supporting roles in commercially successful comedies and dramas, including Bunty Aur Babli (2005), Sarkar (2005),   Bluffmaster! (2005), Kabhi Alvida Naa Kehna (2006), Guru (2007),  Jhoom Barabar Jhoom (2007), Dostana (2008), Bol Bachchan (2012), Happy New Year (2014), and Housefull 3 (2016). His highest-grossing releases include the action sequels Dhoom (2004), Dhoom 2 (2006), and Dhoom 3 (2013).[1]",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Abhishek_Bachchan.jpg/220px-Abhishek_Bachchan.jpg
Abhishek Chatterjee,"Abhishek Chatterjee (pronounced [abʱiʃek tʃɛʈerdʒi], Bengali: pronunciation (help·info)) is an Indian actor who is known for his work in Bengali cinema.[3][4] He made his acting debut alongside veterans such as Sandhya Roy, Prosenjit Chatterjee, Tapas Paul and Utpal Dutt with the Bengali film Pathbhola (1986) directed by Tarun Majumdar.[5]After finishing his secondary schooling at the Baranagore Ramakrishna Mission Ashrama High School, he graduated from the Seth Anandram Jaipuria College of the University of Calcutta.[6]",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/BRKM_secondary_section_entrance.crop.jpg/120px-BRKM_secondary_section_entrance.crop.jpg
Abhishek Gowda,"Malavalli Huchche Gowda Amarnath (29 May 1952 – 24 November 2018),[1] known by his screen name Ambareesh, was an Indian actor, media personality and politician from the State of Karnataka. Alongside Rajkumar and Vishnuvardhan, he is counted in Kannada cinema's ""triumvirate"" as its most celebrated actors.[2][3]With his debut in Puttanna Kanagal's National Award winning Kannada film Naagarahaavu (1972), Ambareesh's acting career commenced with a brief phase of portraying antagonistic and supporting characters. After establishing himself as a lead actor portraying rebellious characters on screen in a number of commercially successful films, he earned the moniker ""rebel star"".[4] He also earned the nickname Mandyada Gandu (English: Man of Mandya)[5] and continues to hold a matinee idol status in the popular culture of Karnataka.After joining politics in 1994, Ambareesh became a three-time member of the Lok Sabha, the lower house of the Indian Parliament representing Mandya, first from Janata Dal and the latter two times from the Indian National Congress, a member of which he remained till his death. During the third term, he briefly served as the Minister of State for Information and Broadcasting, between October 2006 and February 2007, as part of the First Manmohan Singh ministry. Between 2013 and 2016, he was a member of the Karnataka Legislative Assembly and served as the Minister of Housing during the time as part of the Siddaramaiah cabinet.[6]",https://upload.wikimedia.org/wikipedia/commons/4/44/M.H.Ambareesh.jpg
Abhimanyu Singh,"Abhimanyu Singh (born in Bihar) is an Indian film actor who works mainly in Bollywood and Bhojpuri cinema. He completed his graduation from St. Stephen's College, New Delhi.He made his debut with Aks (2001), directed by Rakeysh Omprakash Mehra. He got his first break with the role of Rananjay Singh in Gulaal (2009), directed by Anurag Kashyap.[1] The role won him the 2010 Stardust Award for his breakthrough performance.[2]He won praises for his role of Bukka Reddy in Rakta Charitra (2010), directed by Ram Gopal Varma. In his review in The Times of India, Nikhat Kazmi compared his performance to that of Heath Ledger in The Dark Knight (2008), which outshone the lead star.[3]He also received positive reviews for Onir's I Am with Rajeev Masand praising his ""brazen, unflinching performance"" as a corrupt police officer.Abhimanyu Singh is currently shooting for Anil Sharma of Gadar fame's film Genius. Abhimanyu plays a CBI officer. Abhimanyu was seen as the main antagonist opposite Sridevi in Boney Kapoors Mom,  released on 7 July 2017. Abhimanyu singh in another Telugu film directed by B.Gopal Aradugula Buleta starring Gopichand and Nayantara is releasing on 9 June 2017. Apart from this, Abhimanyu recently shot for the Tamil film Theeran Adhigaaram Ondru as the main villain opposite Karthi which was shot in Rajasthan and Chennai.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Abhimanyu_Singh_%28Indian_Actor%29_rgvzoomin.jpg/220px-Abhimanyu_Singh_%28Indian_Actor%29_rgvzoomin.jpg
